0,0,132,255
0,0,127,255
0,0,250,255
0,0,136,255
0,0,127,255
0,0,132,255
0,0,132,255
0,0,127,255
0,0,141,255
0,0,127,255
0,0,127,255
0,0,145,255
0,0,127,255
0,0,127,255
0,0,132,255
0,0,127,255
0,0,127,255
0,0,132,255
0,0,127,255
0,0,150,255
0,0,127,255
0,0,141,255
0,0,132,255
0,0,127,255
0,0,127,255
0,0,150,255
0,0,127,255
0,0,145,255
0,0,127,255
0,0,127,255
0,0,132,255
0,0,127,255
0,0,127,255
0,0,132,255
0,0,127,255
0,0,127,255
0,0,154,255
0,0,132,255
0,0,141,255
0,0,127,255
0,0,127,255
0,0,150,255
0,0,127,255
0,0,159,255
0,0,127,255
0,0,127,255
0,0,127,255
0,0,127,255
0,0,136,255
0,0,132,255
0,0,141,255
0,0,127,255
0,0,127,255
0,0,141,255
0,0,127,255
0,0,163,255
0,0,127,255
0,0,154,255
0,0,127,255
0,0,127,255
0,0,127,255
0,0,159,255
0,0,132,255
0,0,141,255
0,0,132,255
0,0,127,255
0,0,132,255
0,0,132,255
0,0,127,255
0,0,127,255
0,0,150,255
0,0,159,255
0,0,127,255
0,0,145,255
0,0,136,255
0,0,132,255
0,0,127,255
0,0,168,255
0,0,127,255
0,0,145,255
0,0,136,255
0,0,141,255
0,0,132,255
0,0,154,255
0,0,136,255
0,0,132,255
0,0,159,255
0,0,127,255
0,0,127,255
0,0,177,255
0,0,127,255
0,0,132,255
0,0,141,255
0,0,159,255
0,0,145,255
0,0,172,255
0,0,136,255
0,0,132,255
0,0,150,255
0,0,186,255
0,0,195,255
0,0,227,255
0,0,191,255
0,0,145,255
0,212,255,255
0,76,255,255
127,0,0,255
0,0,132,255
0,0,218,255
0,0,127,255
0,0,132,255
0,0,145,255
0,0,132,255
0,0,163,255
0,0,127,255
0,0,159,255
89,255,157,255
0,0,141,255
0,64,255,255
0,0,141,255
0,100,255,255
0,144,255,255
0,0,204,255
0,164,255,255
0,0,154,255
0,44,255,255
